timestamp,experiment_name,owner,dataset,split,model,checkpoint,seed,train_size,eval_size,batch_size,gradient_accumulation_steps,epochs,pooling_strategy,loss_profile,gpu,cuda,torch,DCF,DCF-positive,DCF-negative,pos_neg_degree,pos_neutral_degree,neg_neutral_degree,output_dir,notes
2026-05-27T15:15:41,E3_baseline_debate_dev_roberta-base_cls_seed42,B,debate,dev,FacebookAI/roberta-base,FacebookAI/roberta-base,42,,500,16,,,cls,baseline_embedding,cpu,None,2.9.1,0.452,0.68,0.666,2.662539372977335e-06,1.9006729417014867e-06,1.7468929627284524e-06,/Users/ezekiel/code/PY_codes/ConDQ/results/b_task/e3_embedding_baselines/E3_baseline_debate_dev_roberta-base_cls_seed42,Raw pretrained encoder baseline for E3/E9.
2026-05-27T15:15:41,E3_baseline_debate_dev_bert-base-uncased_cls_seed42,B,debate,dev,google-bert/bert-base-uncased,google-bert/bert-base-uncased,42,,500,16,,,cls,baseline_embedding,cpu,None,2.9.1,0.318,0.554,0.572,0.0019078042823821306,0.001754813245497644,0.0016448167152702808,/Users/ezekiel/code/PY_codes/ConDQ/results/b_task/e3_embedding_baselines/E3_baseline_debate_dev_bert-base-uncased_cls_seed42,Raw pretrained encoder baseline for E3/E9.
2026-05-27T15:16:13,E3_baseline_defeasible_nli_dev_bert-base-uncased_cls_seed42,B,defeasible_nli,dev,google-bert/bert-base-uncased,google-bert/bert-base-uncased,42,,500,16,,,cls,baseline_embedding,cpu,None,2.9.1,0.144,0.286,0.28,0.0026059767697006464,0.004163248930126429,0.004038599785417318,/Users/ezekiel/code/PY_codes/ConDQ/results/b_task/e3_embedding_baselines/E3_baseline_defeasible_nli_dev_bert-base-uncased_cls_seed42,Raw pretrained encoder baseline for E3/E9.
2026-05-27T15:16:13,E3_baseline_defeasible_nli_dev_roberta-base_cls_seed42,B,defeasible_nli,dev,FacebookAI/roberta-base,FacebookAI/roberta-base,42,,500,16,,,cls,baseline_embedding,cpu,None,2.9.1,0.13,0.342,0.332,2.0909308773298108e-07,2.8753279934790044e-07,2.514123877972452e-07,/Users/ezekiel/code/PY_codes/ConDQ/results/b_task/e3_embedding_baselines/E3_baseline_defeasible_nli_dev_roberta-base_cls_seed42,Raw pretrained encoder baseline for E3/E9.
2026-05-27T15:16:43,E3_baseline_causal_reasoning_dev_roberta-base_cls_seed42,B,causal_reasoning,dev,FacebookAI/roberta-base,FacebookAI/roberta-base,42,,500,16,,,cls,baseline_embedding,cpu,None,2.9.1,0.218,0.53,0.374,2.101659788422694e-07,2.2399424892682873e-07,2.8598307721949823e-07,/Users/ezekiel/code/PY_codes/ConDQ/results/b_task/e3_embedding_baselines/E3_baseline_causal_reasoning_dev_roberta-base_cls_seed42,Raw pretrained encoder baseline for E3/E9.
2026-05-27T15:16:43,E3_baseline_causal_reasoning_dev_bert-base-uncased_cls_seed42,B,causal_reasoning,dev,google-bert/bert-base-uncased,google-bert/bert-base-uncased,42,,500,16,,,cls,baseline_embedding,cpu,None,2.9.1,0.232,0.56,0.38,0.002553432947024703,0.002321467502042651,0.003104030154645443,/Users/ezekiel/code/PY_codes/ConDQ/results/b_task/e3_embedding_baselines/E3_baseline_causal_reasoning_dev_bert-base-uncased_cls_seed42,Raw pretrained encoder baseline for E3/E9.
